Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arena2.0.PrjPCB|ReportField=ProjectFullPath~E:\001-项目开发\001-擂台机器人\008 Arena2.0\Arena2.0.PrjPCB|ReportField=Title~Bill of Materials For Project [Arena2.0.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~18:16:41|ReportField=ReportDate~2021/5/21|ReportField=ReportDateTime~2021/5/21 18:16:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~17|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2021/5/21|ReportField=CurrentTime~18:16:38|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\001-项目开发\001-擂台机器人\008 Arena2.0\Arena2.0.SchDoc|ReportField=DocumentName~Arena2.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020/9/21|ReportField=Organization~|ReportField=ProjectName~Arena2.0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Arena2.0.PrjPCB|ReportField=DataSourceFullPath~E:\001-项目开发\001-擂台机器人\008 Arena2.0\Arena2.0.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|STM32F407VGT6||*1|STM32F407VGT6|STM32F407VGT6|1
2|Grayscale||*2, *3, *4|PH2.0-L-Z-3P|Grayscale|3
3|kaiguan||*5|kaiguan|kaiguan|1
4|MOTOR||*6|PH2.0-L-Z-6P|MOTOR|1
5|BLUETOOTH_1||*7|bluetooth|BLUETOOTH_1|1
6|ICM||*8|ICM|ICM|1
7|ENCODE||*9, *10|PH2.0-L-Z-4P|ENCODE|2
8|RANGING||1, 2, 3, 4, 5, 6, 7|PH2.0-L-Z-3P|RANGING|7
