Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000875493331022115,-2.98168360204655E-05,0.0230806034798212,0,0,0,2.32675204259948,0.00789083378795565,1.59165336976241E-07,0.000733688693341605,0.00652488643542004,2.91556824422074E-07,0.0130402502139997,0,0,0,0,0,0,package://display_arena/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://display_arena/meshes/base_link.STL,,"cross recessed countersunk head screws gb1-68;cross recessed countersunk head screws gb1-142;hex nuts, style 1-grades ab gb-110;hex nuts, style 1-grades ab gb-72;hex nuts, style 1-grades ab gb-70;cross recessed countersunk head screws gb1-109;cross recessed countersunk head screws gb1-108;hex nuts, style 1-grades ab gb-68;hex nuts, style 1-grades ab gb-66;hex nuts, style 1-grades ab gb-64;hex nuts, style 1-grades ab gb-62;hex nuts, style 1-grades ab gb-60;hex nuts, style 1-grades ab gb-58;hex nuts, style 1-grades ab gb-56;hex nuts, style 1-grades ab gb-54;hex nuts, style 1-grades ab gb-52;hex nuts, style 1-grades ab gb-50;hex nuts, style 1-grades ab gb-48;hex nuts, style 1-grades ab gb-46;hex nuts, style 1-grades ab gb-44;hex nuts, style 1-grades ab gb-42;hex nuts, style 1-grades ab gb-40;hex nuts, style 1-grades ab gb-38;hex nuts, style 1-grades ab gb-36;hex nuts, style 1-grades ab gb-34;hex nuts, style 1-grades ab gb-32;cross recessed countersunk head screws gb1-105;cross recessed countersunk head screws gb1-103;cross recessed countersunk head screws gb1-101;cross recessed countersunk head screws gb1-97;cross recessed countersunk head screws gb1-95;cross recessed countersunk head screws gb1-93;cross recessed countersunk head screws gb1-91;cross recessed countersunk head screws gb1-89;cross recessed countersunk head screws gb1-87;cross recessed countersunk head screws gb1-85;cross recessed countersunk head screws gb1-83;cross recessed countersunk head screws gb1-81;cross recessed countersunk head screws gb1-79;cross recessed countersunk head screws gb1-77;cross recessed countersunk head screws gb1-75;cross recessed countersunk head screws gb1-73;cross recessed countersunk head screws gb1-71;cross recessed countersunk head screws gb1-69;002-电机模组-5/002-电机-1;002-电机模组-1/002-电机-1;002-电机模组-6/002-电机-1;002-电机模组-4/002-电机-1;006-GP2Y0A21_10-80-10;014-红外后侧支架-1;013-侧ADC固定-1;006-GP2Y0A21_10-80-8;013-侧ADC固定-2;006-GP2Y0A21_10-80-9;006-GP2Y0A21_10-80-3;012-ADC连接-2;006-GP2Y0A21_10-80-1;006-GP2Y0A21_10-80-7;012-ADC连接-1;006-GP2Y0A21_10-80-4;011-钣金支撑-2;001-车体-1;003-合页-11/003-合页01-1;003-合页-10/003-合页01-1;003-合页-9/003-合页01-1;003-合页-1/003-合页02-1;cross recessed countersunk head screws gb1-65;cross recessed countersunk head screws gb1-67;hex nuts, style 1-grades ab gb-29;hex nuts, style 1-grades ab gb-31;cross recessed countersunk head screws gb1-138;cross recessed countersunk head screws gb1-136;hex nuts, style 1-grades ab gb-99;hex nuts, style 1-grades ab gb-97;cross recessed countersunk head screws gb1-134;cross recessed countersunk head screws gb1-132;hex nuts, style 1-grades ab gb-93;hex nuts, style 1-grades ab gb-95;cross recessed countersunk head screws gb1-140;cross recessed countersunk head screws gb1-128;hex nuts, style 1-grades ab gb-89;hex nuts, style 1-grades ab gb-91;hex nuts, style 1-grades ab gb-108;cross recessed countersunk head screws gb1-110;hex nuts, style 1-grades ab gb-106;cross recessed countersunk head screws gb1-111;hex nuts, style 1-grades ab gb-101;cross recessed countersunk head screws gb1-113;hex nuts, style 1-grades ab gb-103;cross recessed countersunk head screws gb1-115;cross recessed countersunk head screws gb1-11;cross recessed countersunk head screws gb1-9;cross recessed countersunk head screws gb1-8;cross recessed countersunk head screws gb1-13;cross recessed countersunk head screws gb1-15;cross recessed countersunk head screws gb1-17;cross recessed countersunk head screws gb1-19;cross recessed countersunk head screws gb1-21;cross recessed countersunk head screws gb1-23;cross recessed countersunk head screws gb1-29;cross recessed countersunk head screws gb1-27;cross recessed countersunk head screws gb1-25",坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF_WheelLink,-1.3878E-17,1.3878E-17,0.010198,0,0,0,0.12747,5.5576E-05,1.1858E-20,-3.446E-21,5.5576E-05,-2.8066E-20,0.00010367,0,0,0,0,0,0,package://display_arena/meshes/RF_WheelLink.STL,0,0,1,0.8,0,0,0,0,0,0,package://display_arena/meshes/RF_WheelLink.STL,,002-电机模组-4/002-轮子-1;002-电机模组-4/002-轮子-2;cross recessed countersunk head screws gb1-1,Origin_RF_Wheel,基准轴1,RF_Wheel,continuous,0.066353,-0.094,0.017,1.5708,0.69155,0,base_link,0,0,-1,,,,,,,,,,,,
RB_WheelLink,-0.020198,6.1583E-16,8.3267E-17,0,0,0,0.12747,0.00010367,1.3226E-20,-2.4557E-21,5.5576E-05,2.9646E-20,5.5576E-05,0,0,0,0,0,0,package://display_arena/meshes/RB_WheelLink.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://display_arena/meshes/RB_WheelLink.STL,,cross recessed countersunk head screws gb1-2;002-电机模组-6/002-轮子-2;002-电机模组-6/002-轮子-1,Origin_RB_Wheel,基准轴2,RB_Wheel,continuous,-0.063645,-0.084,0.017,1.6466,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
LF_WheelLink,-0.020198,4.3576E-15,6.0923E-15,0,0,0,0.12747,0.00010367,1.8681E-20,1.5159E-20,5.5576E-05,-6.0986E-20,5.5576E-05,0,0,0,0,0,0,package://display_arena/meshes/LF_WheelLink.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://display_arena/meshes/LF_WheelLink.STL,,cross recessed countersunk head screws gb1-6;002-电机模组-1/002-轮子-2;002-电机模组-1/002-轮子-1,Origin_LF_Wheel,基准轴4,LF_Wheel,continuous,0.066353,0.084,0.017,0.75862,0,-1.5708,base_link,1,0,0,,,,,,,,,,,,
LB_WheelLink,0,2.7756E-17,-0.0098022,0,0,0,0.12747,5.5576E-05,1.3553E-20,-1.8379E-21,5.5576E-05,-1.187E-20,0.00010367,0,0,0,0,0,0,package://display_arena/meshes/LB_WheelLink.STL,1,1,1,1,0,0,0,0,0,0,package://display_arena/meshes/LB_WheelLink.STL,,002-电机模组-5/002-轮子-2;cross recessed countersunk head screws gb1-4;002-电机模组-5/002-轮子-1,Origin_LB_Wheel,基准轴3,LB_Wheel,continuous,-0.063645,0.114,0.017,1.5708,0.23741,-3.1416,base_link,0,0,-1,,,,,,,,,,,,
Baffle_Link,0.085624,0.074282,0.00094888,0,0,0,0.39851,0.00052226,-2.2179E-14,-5.6936E-15,0.0022735,-7.0203E-09,0.0027954,0,0,0,0,0,0,package://display_arena/meshes/Baffle_Link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://display_arena/meshes/Baffle_Link.STL,,"004-挡板-1;hex nuts, style 1-grades ab gb-81;cross recessed countersunk head screws gb1-124;cross recessed countersunk head screws gb1-126;hex nuts, style 1-grades ab gb-83;003-合页-11/003-合页02-1;cross recessed countersunk head screws gb1-120;cross recessed countersunk head screws gb1-122;hex nuts, style 1-grades ab gb-79;003-合页-10/003-合页02-1;hex nuts, style 1-grades ab gb-77;hex nuts, style 1-grades ab gb-73;003-合页-9/003-合页02-1;hex nuts, style 1-grades ab gb-75;cross recessed countersunk head screws gb1-118;cross recessed countersunk head screws gb1-117;hex nuts, style 1-grades ab gb-13;003-合页-1/003-合页01-1;cross recessed countersunk head screws gb1-46;hex nuts, style 1-grades ab gb-15;cross recessed countersunk head screws gb1-48",Origin_Baffle,基准轴5,Baffle,revolute,0.15948,-0.085582,-0.016614,0.82235,0,1.5708,base_link,-1,0,0,0,0,-0.2,1,,,,,,,,
